Authors,Title,Year,Sampling Methodology,Sample analysis,Size (µm),Results (avg),Uncertainty,Units,Latitude (°N),Longitude (°E)
"Kau, D.; Materic, D.; Holzinger, R.; Baumann-Stanzer, K.; Schauer, G.; Kasper-Giebl, A.","Fine micro- and nanoplastics concentrations in particulate matter samples from the high alpine site Sonnblick, Austria",2024,Sampling,D-PTR-MS,< 1mm,21,,ng m-3,47.05,12.95
"Materic, D.; Ludewig, E.; Brunner, D.; Rockmann, T.; Holzinger, R.","Nanoplastics transport to the remote, high-altitude Alps",2021,Deposition,D-PTR-MS,< 1mm,42,,kg km-2 year-1,47.05,12.95
